"fips_state_code","fips_county_code","name","state_abbrev","population","housing_units","land_area","water_area","latitude","longitude"
"5","123","St. Francis County","AR","28497","10958","1641756","22168","35021644","-9074732"
"5","125","Saline County","AR","64183","24602","1877132","14872","34648426","-9267458"
"5","127","Scott County","AR","10205","4485","2315294","10910","34858644","-9406349"
"5","129","Searcy County","AR","7841","3739","1728047","3521","35917529","-9270326"
"5","131","Sebastian County","AR","99590","43621","1389183","25131","35199151","-9427539"
"5","133","Sevier County","AR","13637","5880","1460694","45084","33998508","-9423769"
"5","135","Sharp County","AR","14109","7617","1565399","5159","36153912","-9148151"
"5","137","Stone County","AR","9775","4548","1571193","7346","35862902","-9215349"
"5","139","Union County","AR","46719","20276","2690992","42397","33170291","-9259444"
"5","141","Van Buren County","AR","14008","7580","1842925","33160","35581189","-9251904"
"5","143","Washington County","AR","113409","47349","2461133","15090","35985741","-9421435"
"5","145","White County","AR","54676","21658","2678446","21448","35254806","-9174579"
"5","147","Woodruff County","AR","9520","4169","1519295","19400","35187551","-9124102"
"5","149","Yell County","AR","17759","7868","2403247","54385","34997776","-9340690"
"4","1","Apache County","AZ","61591","26731","29022713","34927","35383620","-10948845"
"4","3","Cochise County","AZ","97624","40238","15980285","127746","31890821","-10973695"
"4","5","Coconino County","AZ","96591","42914","48223559","112495","35835573","-11176816"
"4","7","Gila County","AZ","40216","22961","12349393","72608","33797288","-11081815"
"4","9","Graham County","AZ","26554","9112","11990779","30640","32936517","-10989134"
"4","11","Greenlee County","AZ","8008","3582","4784084","3665","33185081","-10923298"
"4","12","La Paz County","AZ","13844","10182","11653884","36498","33727923","-11397901"
"4","13","Maricopa County","AZ","2122101","952041","23838483","53895","33342656","-11249091"
"4","15","Mohave County","AZ","93497","50822","34479166","409435","35708232","-11375333"
"4","17","Navajo County","AZ","77658","38967","25780344","16618","35387551","-11031966"
"4","19","Pima County","AZ","666880","298207","23794349","6304","32103960","-11181482"
"4","21","Pinal County","AZ","116379","52732","13908286","11653","32909084","-11134689"
"4","23","Santa Cruz County","AZ","29676","9595","3205764","1227","31523864","-11083646"
"4","25","Yavapai County","AZ","107714","54805","21039978","12405","34595236","-11255404"
"4","27","Yuma County","AZ","106895","46541","14282395","12656","32764761","-11389721"
"6","1","Alameda County","CA","1279182","504109","1910132","216939","37653853","-12191394"
"6","3","Alpine County","CA","1113","1319","1913110","11843","38579180","-11980445"
"6","5","Amador County","CA","30039","12814","1534745","30292","38444419","-12065526"
"6","7","Butte County","CA","182120","76115","4246565","97429","39662375","-12159606"
"6","9","Calaveras County","CA","31998","19153","2642286","43349","38207542","-12055179"
"6","11","Colusa County","CA","16275","6295","2980513","14362","39176482","-12223512"
"6","13","Contra Costa County","CA","803732","316170","1865542","212097","37933350","-12194870"
"6","15","Del Norte County","CA","23460","9091","2610426","574851","41737320","-12395696"
"6","17","El Dorado County","CA","125995","61451","4432744","206706","38775488","-12052758"
"6","19","Fresno County","CA","667490","235563","15444713","141630","36753992","-11964793"
"6","21","Glenn County","CA","24798","9329","3405550","32018","39594777","-12239174"
"6","23","Humboldt County","CA","119118","51134","9253541","1242490","40700416","-12391196"
"6","25","Imperial County","CA","109303","36559","10813387","795212","33038512","-11535291"
"6","27","Inyo County","CA","18281","8712","26397464","92404","36589328","-11748318"
"6","29","Kern County","CA","543477","198636","21086750","52910","35338498","-11872491"
"6","31","Kings County","CA","101469","30843","3598768","5429","36072642","-11981476"
"6","33","Lake County","CA","50631","28822","3259420","184211","39090857","-12276203"
"6","35","Lassen County","CA","27598","10358","11803898","422484","40652341","-12057760"
"6","37","Los Angeles County","CA","8863164","3163343","10515336","1793184","34184667","-11826198"
"6","39","Madera County","CA","88090","30831","5538523","38756","37219685","-11976513"
"6","41","Marin County","CA","230096","99757","1346220","798861","38035300","-12274346"
"6","43","Mariposa County","CA","14302","7700","3758645","30246","37578193","-11990960"
"6","45","Mendocino County","CA","80345","33649","9089043","956274","39431152","-12343162"
"6","47","Merced County","CA","178403","58410","4995828","111700","37189464","-12071113"
"6","49","Modoc County","CA","9678","4672","10215900","671474","41595361","-12071855"
"6","51","Mono County","CA","9956","10664","7885220","226384","37910550","-11887397"
"6","53","Monterey County","CA","355660","121224","8603832","1163335","36239310","-12131062"
"6","55","Napa County","CA","110765","44199","1952502","89303","38502833","-12232315"
"6","57","Nevada County","CA","78510","37352","2480332","43716","39304003","-12076623"
"6","59","Orange County","CA","2410556","875072","2045275","409804","33674967","-11777739"
"6","61","Placer County","CA","172796","77879","3637424","248187","39064980","-12072766"
"6","63","Plumas County","CA","19739","11942","6614759","154849","40010792","-12083413"
"6","65","Riverside County","CA","1170413","483847","18669112","247763","33727917","-11597729"
"6","67","Sacramento County","CA","1041219","417574","2501140","77604","38445368","-12134903"
"6","69","San Benito County","CA","36697","12230","3597857","4339","36611964","-12108421"
"6","71","San Bernardino County","CA","1418380","542332","51960009","115542","34828251","-11619134"
"6","73","San Diego County","CA","2498016","946240","10889601","832537","33020561","-11677186"
"6","75","San Francisco County","CA","723959","328471","120955","479639","37793250","-12255478"
"6","77","San Joaquin County","CA","480628","166274","3624538","69754","37932561","-12127060"
"6","79","San Luis Obispo County","CA","217162","90200","8558655","806096","35381635","-12044552"
"6","81","San Mateo County","CA","649623","251782","1163194","756166","37436567","-12235647"
"6","83","Santa Barbara County","CA","369608","138149","7092635","2722338","34536645","-12002594"
"6","85","Santa Clara County","CA","1497577","540240","3344260","34472","37232600","-12168631"
"6","87","Santa Cruz County","CA","229734","91878","1154601","419399","37025900","-12200723"
"6","89","Shasta County","CA","147036","60552","9804847","160454","40760008","-12203813"
"6","91","Sierra County","CA","3318","2166","2469392","22257","39590741","-12049915"
"6","93","Siskiyou County","CA","43531","20141","16283999","156838","41589207","-12253306"
"6","95","Solano County","CA","340421","119533","2144950","203791","38267400","-12193834"
"6","97","Sonoma County","CA","388222","161062","4082375","497645","38512470","-12292869"
"6","99","Stanislaus County","CA","370522","132027","3870915","52422","37562401","-12099375"
"6","101","Sutter County","CA","64415","24163","1560978","15962","39039974","-12168912"
"6","103","Tehama County","CA","49625","20403","7643208","29153","40129251","-12223344"
"6","105","Trinity County","CA","13063","7540","8233259","74917","40657296","-12311822"
"6","107","Tulare County","CA","311921","105013","12494995","39070","36227815","-11879661"
"6","109","Tuolumne County","CA","48456","25175","5790331","100684","38018666","-11994492"
"6","111","Ventura County","CA","669016","228478","4781010","938649","34356248","-11914622"
"6","113","Yolo County","CA","141092","53000","2622231","27008","38701200","-12188261"
"6","115","Yuba County","CA","58228","21245","1632871","33935","39270692","-12135261"
"8","1","Adams County","CO","265038","106947","3087330","15042","39870594","-10435031"
"8","3","Alamosa County","CO","13617","5254","1872064","2031","37571634","-10578484"
"8","5","Arapahoe County","CO","391511","168665","2080195","5961","39644335","-10433155"
"8","7","Archuleta County","CO","5345","3951","3494929","13617","37186710","-10705234"
"8","9","Baca County","CO","4556","2434","6619706","3543","37320937","-10255699"
"8","11","Bent County","CO","5048","2332","3921320","70505","37954862","-10307665"
"8","13","Boulder County","CO","225339","94621","1922962","23158","40088471","-10535729"
"8","15","Chaffee County","CO","12684","6547","2625019","4025","38737034","-10617599"
"8","17","Cheyenne County","CO","2397","1083","4614037","60","38820224","-10258759"
"8","19","Clear Creek County","CO","7619","4811","1024242","2627","39687705","-10563585"
"8","21","Conejos County","CO","7453","3574","3334210","9462","37206085","-10619411"
"8","23","Costilla County","CO","3190","1743","3178487","8650","37276261","-10542795"
"8","25","Crowley County","CO","3946","1415","2043630","29362","38327049","-10378539"
"8","27","Custer County","CO","1926","2216","1913849","2632","38092794","-10536054"
"8","29","Delta County","CO","20980","10082","2958318","16575","38862219","-10786118"
"8","31","Denver County","CO","467610","239636","397000","4143","39768035","-10487265"
"8","33","Dolores County","CO","1504","947","2763569","2922","37754722","-10852179"
"8","35","Douglas County","CO","60391","22291","2176034","6835","39346424","-10493045"
"8","37","Eagle County","CO","21928","15226","4371813","10171","39624387","-10670354"
"8","39","Elbert County","CO","9646","3997","4793832","289","39282065","-10412846"
"8","41","El Paso County","CO","397014","165056","5508138","7816","38837901","-10452108"
"8","43","Fremont County","CO","32273","13683","3970562","2654","38476215","-10543797"
"8","45","Garfield County","CO","29974","12517","7634019","22238","39603247","-10789692"
"8","47","Gilpin County","CO","3070","2438","388185","1000","39858816","-10551952"
"8","49","Grand County","CO","7966","9985","4790858","51655","40101500","-10611805"
"8","51","Gunnison County","CO","10273","7294","8389037","54215","38668937","-10701356"
"8","53","Hinsdale County","CO","467","1254","2895008","14133","37821179","-10727982"
"8","55","Huerfano County","CO","6009","3913","4120659","6141","37686839","-10495858"
"8","57","Jackson County","CO","1605","1326","4178477","20047","40662438","-10633897"
"8","59","Jefferson County","CO","438430","178611","2000066","15471","39587467","-10524681"
"8","61","Kiowa County","CO","1688","878","4587152","38241","38433599","-10274073"
"8","63","Kit Carson County","CO","7140","3224","5597046","1789","39305339","-10260245"
"8","65","Lake County","CO","6007","3527","976220","18151","39189931","-10635809"
"8","67","La Plata County","CO","32284","15412","4383028","20053","37285784","-10784607"
"8","69","Larimer County","CO","186136","77811","6737717","84339","40648764","-10545632"
"8","71","Las Animas County","CO","13765","6975","12361967","7189","37320189","-10404329"
"8","73","Lincoln County","CO","4529","2204","6698422","778","38978727","-10352325"
"8","75","Logan County","CO","17567","7824","4762034","16405","40729106","-10310503"
"8","77","Mesa County","CO","93145","39208","8619301","34606","39021885","-10846815"
"8","79","Mineral County","CO","558","1201","2268407","5144","37692655","-10692687"
"8","81","Moffat County","CO","11357","5235","12283130","22499","40608316","-10820244"
"8","83","Montezuma County","CO","18672","8050","5275658","8145","37335739","-10859551"
"8","85","Montrose County","CO","24423","10353","5803533","5081","38405803","-10826907"
"8","87","Morgan County","CO","21939","9230","3329341","22031","40263386","-10380728"
"8","89","Otero County","CO","20185","8739","3270978","17842","37895624","-10371114"
"8","91","Ouray County","CO","2295","1507","1403958","500","38156773","-10776579"
"8","93","Park County","CO","7174","7247","5700126","25891","39116743","-10571356"
"8","95","Phillips County","CO","4189","1960","1781041","303","40593813","-10234856"
"8","97","Pitkin County","CO","12661","9837","2513521","7275","39220673","-10692136"
"8","99","Prowers County","CO","13347","5855","4248870","10281","37955682","-10239529"
"8","101","Pueblo County","CO","123051","50872","6187013","23435","38152996","-10450638"
"8","103","Rio Blanco County","CO","5972","2803","8342809","5026","39975262","-10819910"
"8","105","Rio Grande County","CO","10770","5277","2363618","1384","37606496","-10638801"
"8","107","Routt County","CO","14088","9252","6116970","16651","40484190","-10698738"
"8","109","Saguache County","CO","4619","2306","8206818","4675","38079466","-10629879"
"8","111","San Juan County","CO","745","481","1003495","2233","37770293","-10766720"
"8","113","San Miguel County","CO","3653","2635","3332188","5141","38013248","-10842614"
"8","115","Sedgwick County","CO","2690","1414","1420044","3530","40877059","-10235296"
"8","117","Summit County","CO","12881","17091","1575263","28702","39618528","-10610784"
"8","119","Teller County","CO","12468","7565","1442874","4902","38881039","-10515421"
"8","121","Washington County","CO","4812","2307","6529788","8120","39975530","-10320080"
"8","123","Weld County","CO","131821","51138","10341289","75082","40544755","-10440302"
"8","125","Yuma County","CO","8954","4082","6128327","7960","40000314","-10242237"
"9","1","Fairfield County","CT","827645","324355","1620958","546898","41225499","-7337102"
"9","3","Hartford County","CT","851783","341812","1904942","39133","41807100","-7273498"
"9","5","Litchfield County","CT","174092","74274","2382814","63780","41794783","-7324457"
"9","7","Middlesex County","CT","143196","61593","956442","180753","41435120","-7252389"
"9","9","New Haven County","CT","804219","327079","1569001","663730","41348967","-7290034"
"9","11","New London County","CT","254957","104461","1725144","273596","41467300","-7210433"
"9","13","Tolland County","CT","128699","46677","1062118","18001","41853000","-7233295"
"9","15","Windham County","CT","102525","40599","1328152","22568","41834216","-7198849"
"11","1","District of Columbia","DC","606900","278489","159055","17991","38905050","-7701616"
"10","1","Kent County","DE","110993","42106","1529809","542552","39097086","-7550307"
"10","3","New Castle County","DE","441946","173560","1104115","174132","39580568","-7563804"
"10","5","Sussex County","DE","113229","74253","2428532","668338","38683270","-7534181"
"12","1","Alachua County","FL","181596","79022","2264434","245749","29676032","-8235834"
"12","3","Baker County","FL","18486","5975","1515797","9515","30323793","-8227380"
"12","5","Bay County","FL","126994","65999","1978094","698283","30236006","-8563242"
"12","7","Bradford County","FL","22515","8099","759262","17895","29949503","-8216817"
"12","9","Brevard County","FL","398978","185150","2637899","1395380","28299334","-8070104"
"12","11","Broward County","FL","1255488","628660","3131021","287106","26146138","-8045289"
"12","13","Calhoun County","FL","11011","4468","1469535","18114","30410180","-8519740"
"12","15","Charlotte County","FL","110975","64641","1796610","428935","26898308","-8195407"
"12","17","Citrus County","FL","93515","49854","1511530","491149","28849240","-8251637"
"12","19","Clay County","FL","105986","40249","1556962","110297","29976759","-8185793"
"12","21","Collier County","FL","152099","94165","5245928","724256","26082939","-8140068"
"12","23","Columbia County","FL","42613","17818","2064645","10250","30225177","-8262502"
"12","25","Dade County","FL","1937094","771288","5036155","1256490","25606400","-8050212"
"12","27","DeSoto County","FL","23865","10310","1650678","5758","27190624","-8180615"
"12","29","Dixie County","FL","10585","6445","1823511","413509","29585858","-8319363"
"12","31","Duval County","FL","672971","284673","2004272","374084","30334150","-8164850"
"12","33","Escambia County","FL","262798","112230","1718833","596463","30607280","-8733259"
"12","35","Flagler County","FL","28701","15215","1256204","222133","29469979","-8129692"
"12","37","Franklin County","FL","8967","5891","1383016","1275486","29801578","-8481673"
"12","39","Gadsden County","FL","41105","14859","1336850","32000","30581582","-8461236"
"12","41","Gilchrist County","FL","9667","4071","903551","17169","29734195","-8280270"
"12","43","Glades County","FL","7591","4624","2003374","550849","26954363","-8118619"
"12","45","Gulf County","FL","11504","6339","1463498","493961","29900149","-8524223"
"12","47","Hamilton County","FL","10930","4119","1333540","11582","30491675","-8294891"
"12","49","Hardee County","FL","19499","7941","1650755","2654","27493625","-8180927"
"12","51","Hendry County","FL","25773","9945","2985493","96326","26553696","-8117315"
"12","53","Hernando County","FL","101115","50018","1238788","287044","28553015","-8246823"
"12","55","Highlands County","FL","68432","40114","2663763","201704","27340557","-8134258"
"12","57","Hillsborough County","FL","834054","367740","2722149","557724","27906325","-8234609"
"12","59","Holmes County","FL","15778","6785","1249792","16077","30867450","-8581233"
"12","61","Indian River County","FL","90208","47128","1303415","294544","27697840","-8057896"
"12","63","Jackson County","FL","41375","16320","2371860","100737","30797108","-8521276"
"12","65","Jefferson County","FL","11296","4395","1548270","100725","30420936","-8389645"
"12","67","Lafayette County","FL","5578","2266","1405927","13286","29988319","-8317952"
"12","69","Lake County","FL","152104","75707","2468542","526817","28765579","-8171740"
"12","71","Lee County","FL","335113","189051","2081333","1057755","26577579","-8192146"
"12","73","Leon County","FL","192493","81325","1727000","90740","30456900","-8427908"
"12","75","Levy County","FL","25923","12307","2896765","761367","29277485","-8278984"
"12","77","Liberty County","FL","5569","2157","2165059","18891","30232796","-8488690"
"12","79","Madison County","FL","16569","6275","1792169","61994","30451966","-8346722"
"12","81","Manatee County","FL","211707","115245","1919712","392742","27481355","-8235973"
"12","83","Marion County","FL","194833","94567","4089586","217849","29211533","-8205904"
"12","85","Martin County","FL","100900","54199","1439194","510701","27079690","-8039690"
"12","87","Monroe County","FL","78024","46215","2582917","7097013","25117067","-8115031"
"12","89","Nassau County","FL","43941","18726","1687684","192395","30610692","-8176765"
"12","91","Okaloosa County","FL","143776","62569","2423687","378928","30668312","-8659301"
"12","93","Okeechobee County","FL","29627","13266","2005522","304716","27385038","-8088983"
"12","95","Orange County","FL","677491","282686","2350754","250409","28513955","-8132212"
"12","97","Osceola County","FL","107728","47959","3424037","477769","28058084","-8114685"
"12","99","Palm Beach County","FL","863518","461665","5268925","912181","26641412","-8043701"
"12","101","Pasco County","FL","281131","148965","1929532","318640","28300958","-8243857"
"12","103","Pinellas County","FL","851659","458341","725604","848475","27902616","-8273894"
"12","105","Polk County","FL","405382","186225","4856063","350330","27959784","-8170007"
"12","107","Putnam County","FL","65070","31840","1870428","272077","29605267","-8174038"
